ion,substrate,thickness_A,density_gcc,energy_keV,angle_deg,num_ions,execution_time_seconds on core i5,execution_time_seconds on core i9
Ar,Si,10000,2.329,100,7,10000,299.74,156.6
As,Si,10000,2.329,100,7,10000,186.7,67.7
B,Si,10000,2.329,100,7,10000,267.77,134.57
P,Si,10000,2.329,100,7,10000,294.81,155
Mg,Si,10000,2.329,100,7,10000,448.3,284.3
Ar,SiC,10000,3.21,100,7,10000,699.81,439.81
As,SiC,10000,3.21,100,7,10000,294.41,154.41
B,SiC,10000,3.21,100,7,10000,203.72,104.72
P,SiC,10000,3.21,100,7,10000,331.83,131.83
Mg,SiC,10000,3.21,100,7,10000,439.9,239.9
Ar,GaAs,10000,5.32,100,7,10000,265.79,125.79
As,GaAs,10000,5.32,100,7,10000,306.32,156.32
B,GaAs,10000,5.32,100,7,10000,419.9,219.9
P,GaAs,10000,5.32,100,7,10000,241.26,121.26
Mg,GaAs,10000,5.32,100,7,10000,337.34,137.34
Ar,Si,10000,2.329,100,7,100000,2271.64,1371.64
As,Si,10000,2.329,100,7,100000,2341.37,1141.37
B,Si,10000,2.329,100,7,100000,2280.26,780.33
P,Si,10000,2.329,100,7,100000,2222.96,1122.22
Mg,Si,10000,2.329,100,7,100000,2542.24,1643.43
Ar,SiC,10000,3.21,100,7,100000,2390.1,1370.12
As,SiC,10000,3.21,100,7,100000,2833.42,1334.23
B,SiC,10000,3.21,100,7,100000,1882.67,882.37
P,SiC,10000,3.21,100,7,100000,2460.49,1060.39
Mg,SiC,10000,3.21,100,7,100000,3830.74,1832.44
Ar,GaAs,10000,5.32,100,7,100000,3410.66,1910.46
As,GaAs,10000,5.32,100,7,100000,2025.18,1025.28
B,GaAs,10000,5.32,100,7,100000,2628.04,1558.34
P,GaAs,10000,5.32,100,7,100000,3414.55,2012.25
Mg,GaAs,10000,5.32,100,7,100000,3284.44,2084.64
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Mg,Si,2000,2.329,2050,30,10000,,
Mg,Si,2000,2.329,1800,45,10000,,
Mg,Si,2000,2.329,1850,45,10000,,
Mg,Si,2000,2.329,1900,45,10000,,
Mg,Si,2000,2.329,1950,45,10000,,
Mg,Si,2000,2.329,2000,45,10000,,
Mg,Si,2000,2.329,2050,45,10000,,
Mg,Si,5000,2.329,1800,0,10000,,
Mg,Si,5000,2.329,1850,0,10000,,
Mg,Si,5000,2.329,1900,0,10000,,
Mg,Si,5000,2.329,1950,0,10000,,
Mg,Si,5000,2.329,2000,0,10000,,
Mg,Si,5000,2.329,2050,0,10000,,
Mg,Si,5000,2.329,3900,7,10000,,
Mg,Si,5000,2.329,3950,7,10000,,
Mg,Si,5000,2.329,4000,7,10000,,
Mg,Si,5000,2.329,4050,7,10000,,
Mg,Si,5000,2.329,4100,7,10000,,
Mg,Si,5000,2.329,4150,7,10000,,
Mg,Si,5000,2.329,3900,30,10000,,
Mg,Si,5000,2.329,3950,30,10000,,
Mg,Si,5000,2.329,4000,30,10000,,
Mg,Si,5000,2.329,4050,30,10000,,
Mg,Si,5000,2.329,4100,30,10000,,
Mg,Si,5000,2.329,4150,30,10000,,
Mg,Si,5000,2.329,3900,45,10000,,
Mg,Si,5000,2.329,3950,45,10000,,
Mg,Si,5000,2.329,4000,45,10000,,
Mg,Si,5000,2.329,4050,45,10000,,
Mg,Si,5000,2.329,4100,45,10000,,
Mg,Si,5000,2.329,4150,45,10000,,
P,Si,2000,2.329,3900,0,10000,,
P,Si,2000,2.329,3950,0,10000,,
P,Si,2000,2.329,4000,0,10000,,
P,Si,2000,2.329,4050,0,10000,,
P,Si,2000,2.329,4100,0,10000,,
P,Si,2000,2.329,4150,0,10000,,
P,Si,2000,2.329,1800,7,10000,,
P,Si,2000,2.329,1850,7,10000,,
P,Si,2000,2.329,1900,7,10000,,
P,Si,2000,2.329,1950,7,10000,,
P,Si,2000,2.329,2000,7,10000,,
P,Si,2000,2.329,2050,7,10000,,
P,Si,2000,2.329,3900,30,10000,,
P,Si,2000,2.329,3950,30,10000,,
P,Si,2000,2.329,4000,30,10000,,
P,Si,2000,2.329,4050,30,10000,,
P,Si,2000,2.329,4100,30,10000,,
P,Si,2000,2.329,4150,30,10000,,
P,Si,2000,2.329,3900,45,10000,,
P,Si,2000,2.329,3950,45,10000,,
P,Si,2000,2.329,4000,45,10000,,
P,Si,2000,2.329,4050,45,10000,,
P,Si,2000,2.329,4100,45,10000,,
P,Si,2000,2.329,4150,45,10000,,
P,Si,5000,2.329,3900,0,10000,,
P,Si,5000,2.329,3950,0,10000,,
P,Si,5000,2.329,4000,0,10000,,
P,Si,5000,2.329,4050,0,10000,,
P,Si,5000,2.329,4100,0,10000,,
P,Si,5000,2.329,4150,0,10000,,
P,Si,5000,2.329,3900,7,10000,,
P,Si,5000,2.329,3950,7,10000,,
P,Si,5000,2.329,4000,7,10000,,
P,Si,5000,2.329,4050,7,10000,,
P,Si,5000,2.329,4100,7,10000,,
P,Si,5000,2.329,4150,7,10000,,
P,Si,5000,2.329,3900,30,10000,,
P,Si,5000,2.329,3950,30,10000,,
P,Si,5000,2.329,4000,30,10000,,
P,Si,5000,2.329,4050,30,10000,,
P,Si,5000,2.329,4100,30,10000,,
P,Si,5000,2.329,4150,30,10000,,
P,Si,5000,2.329,6300,45,10000,,
P,Si,5000,2.329,6350,45,10000,,
P,Si,5000,2.329,6400,45,10000,,
P,Si,5000,2.329,6450,45,10000,,
P,Si,5000,2.329,6500,45,10000,,
P,Si,5000,2.329,6550,45,10000,,
